Genus,G1,G2,G3,G4,G5,G6,G7,G11,G12,G14,G16,G18,G19,G20,G21,G22,G24,G29,G31,G32,G33,G34,G35,G36,G38,G45,G47,G48,G51,G54,G55,G58,G59,G61,G62,G64,G65,G66,G67,G69,G70,Taxonomy
Corallococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-42,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae
Acidovorax,NA,4.00E-27,NA,5.00E-92,3.00E-35,1.00E-21,3.00E-73,NA,1.00E-07,NA,NA,NA,NA,4.00E-120,NA,1.00E-54,2.00E-53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-35,6.00E-55,NA,NA,NA,NA,2.00E-24,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae
Geobacter,NA,2.00E-18,NA,2.00E-98,3.00E-38,7.00E-06,NA,NA,NA,NA,NA,NA,NA,6.00E-103,NA,1.00E-15,5.00E-12,NA,NA,NA,NA,NA,1.00E-30,1.00E-44,NA,NA,NA,NA,NA,5.00E-77,NA,NA,4.00E-10,NA,NA,NA,NA,2.00E-14,NA,NA,NA,Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae
Simplicispira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-63,NA,5.00E-52,7.00E-33,NA,NA,NA,NA,NA,NA,7.00E-54,NA,NA,NA,NA,NA,NA,NA,NA,8.00E-09,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae
Tepidimonas,NA,1.00E-28,NA,7.00E-25,NA,NA,NA,NA,NA,NA,1.00E-04,NA,NA,2.00E-41,NA,9.00E-45,2.00E-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-08,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; unclassified Burkholderiales; Burkholderiales Genera incertae sedis
Luteibacter,NA,1.00E-17,NA,3.00E-31,1.00E-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-97,NA,NA,NA,NA,2.00E-62,5.00E-47,6.00E-06,NA,NA,2.00E-06,NA,2.00E-23,4.00E-125,NA,NA,NA,1.00E-29,NA,NA,NA,2.00E-11,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae
Chromobacterium,NA,2.00E-25,NA,7.00E-79,6.00E-24,1.00E-14,4.00E-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-95,NA,NA,NA,NA,NA,3.00E-36,NA,NA,NA,NA,NA,NA,1.00E-79,NA,NA,1.00E-54,NA,NA,NA,NA,1.00E-14,NA,NA,NA,Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Chromobacterium group
Paludibacterium,NA,NA,NA,NA,5.00E-21,NA,NA,NA,NA,NA,NA,NA,1.00E-35,NA,NA,NA,6.00E-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae
Trinickia,NA,1.00E-12,NA,1.00E-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00E-78,NA,NA,2.00E-08,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae
Pandoraea,NA,3.00E-26,NA,3.00E-45,3.00E-29,5.00E-17,1.00E-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-90,NA,2.00E-12,NA,NA,2.00E-42,8.00E-54,NA,3.00E-28,NA,NA,4.00E-12,NA,3.00E-78,2.00E-05,NA,3.00E-09,NA,NA,NA,NA,8.00E-20,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae
Klebsiella,7.00E-20,0.00E+00,NA,1.00E-41,2.00E-32,9.00E-12,5.00E-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-43,NA,3.00E-10,NA,NA,3.00E-48,2.00E-27,5.00E-16,NA,NA,NA,NA,NA,4.00E-80,NA,6.00E-42,4.00E-60,3.00E-19,NA,NA,NA,5.00E-20,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
Raoultella,2.00E-12,7.00E-179,NA,8.00E-41,2.00E-30,3.00E-15,4.00E-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-40,NA,6.00E-10,NA,NA,3.00E-59,1.00E-23,NA,NA,NA,NA,NA,NA,3.00E-108,NA,NA,9.00E-55,NA,NA,NA,NA,2.00E-19,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
Erwinia,2.00E-27,0.00E+00,NA,2.00E-44,1.00E-21,7.00E-14,4.00E-81,NA,NA,NA,NA,NA,5.00E-07,NA,NA,NA,1.00E-28,NA,3.00E-09,NA,NA,1.00E-46,4.00E-16,NA,NA,NA,NA,NA,NA,1.00E-82,NA,NA,1.00E-49,NA,NA,NA,NA,1.00E-19,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae
Salmonella,6.00E-27,0.00E+00,NA,1.00E-114,8.00E-79,2.00E-15,4.00E-86,NA,NA,NA,2.00E-37,NA,NA,NA,NA,NA,2.00E-63,NA,NA,7.00E-05,NA,3.00E-48,6.00E-33,NA,NA,NA,NA,NA,NA,7.00E-81,NA,7.00E-35,2.00E-64,5.00E-15,NA,NA,NA,4.00E-18,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
Aquimonas,NA,NA,NA,2.00E-29,6.00E-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-73,NA,NA,NA,NA,NA,NA,NA,4.00E-110,NA,NA,NA,NA,NA,NA,NA,2.00E-12,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
Dokdonella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-10,NA,NA,NA,NA,2.00E-62,NA,NA,NA,NA,NA,NA,NA,3.00E-112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae
Dyella,NA,4.00E-22,NA,5.00E-36,3.00E-18,NA,2.00E-83,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00E-75,NA,NA,NA,NA,9.00E-62,3.00E-39,2.00E-104,NA,NA,NA,NA,5.00E-20,7.00E-129,NA,NA,4.00E-70,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae
Fulvimonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-60,NA,NA,NA,NA,NA,NA,NA,1.00E-107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae
Oleiagrimonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-60,NA,NA,NA,NA,NA,NA,NA,5.00E-104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae
Pseudolysobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-59,NA,NA,NA,NA,NA,NA,NA,2.00E-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae
Achromobacter,NA,3.00E-146,NA,8.00E-41,1.00E-23,NA,2.00E-82,1.00E-04,NA,NA,1.00E-22,NA,NA,NA,NA,NA,4.00E-73,NA,NA,NA,NA,7.00E-43,1.00E-56,2.00E-49,NA,NA,NA,NA,NA,5.00E-77,NA,2.00E-07,1.00E-68,NA,NA,NA,NA,9.00E-15,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae
Paraburkholderia,NA,4.00E-175,NA,1.00E-44,1.00E-30,4.00E-14,2.00E-86,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00E-71,NA,NA,NA,NA,1.00E-42,6.00E-56,2.00E-66,3.00E-32,NA,NA,1.00E-16,NA,1.00E-78,NA,2.00E-16,2.00E-54,NA,NA,NA,NA,7.00E-14,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae
Polaromonas,NA,NA,NA,1.00E-107,1.00E-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-39,NA,NA,NA,NA,NA,1.00E-55,NA,NA,NA,NA,1.00E-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00E-09,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae
Oryzomicrobium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-55,NA,NA,NA,NA,NA,NA,2.00E-83,NA,NA,6.00E-86,NA,NA,NA,NA,5.00E-05,NA,NA,NA,Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae
Dehalococcoidia bacterium,NA,NA,NA,NA,3.00E-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-69,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-19,NA,NA,NA,NA,2.00E-08,NA,NA,NA,Chloroflexi; Dehalococcoidia; unclassified Dehalococcoidia
Acidocella,NA,3.00E-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae
Ralstonia,NA,7.00E-25,NA,1.00E-30,5.00E-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-83,NA,NA,NA,NA,1.00E-41,3.00E-47,7.00E-67,NA,NA,NA,1.00E-15,NA,3.00E-83,NA,1.00E-48,2.00E-10,NA,NA,NA,NA,2.00E-17,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae
Solimicrobium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-10,NA,NA,NA,NA,3.00E-47,3.00E-13,NA,2.00E-30,NA,NA,NA,NA,NA,NA,NA,1.00E-08,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae
Caballeronia,NA,1.00E-88,NA,1.00E-47,3.00E-25,1.00E-17,3.00E-88,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-47,NA,NA,NA,NA,6.00E-47,2.00E-47,NA,3.00E-27,NA,NA,NA,NA,4.00E-78,NA,7.00E-37,5.00E-60,NA,NA,NA,NA,7.00E-12,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae
Gallionella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-52,NA,NA,NA,NA,NA,9.00E-12,NA,2.00E-26,NA,NA,NA,NA,6.00E-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae
Burkholderia virus Bcepil02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Podoviridae; Lessievirus
Burkholderia virus Bcepmigl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Podoviridae; Lessievirus
Agrobacterium,NA,7.00E-133,NA,2.00E-47,2.00E-72,NA,6.00E-87,NA,NA,NA,2.00E-36,NA,NA,NA,NA,NA,8.00E-43,NA,NA,NA,NA,NA,7.00E-15,NA,NA,6.00E-06,NA,NA,NA,NA,NA,NA,3.00E-78,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group
Xylella,NA,3.00E-21,NA,NA,NA,NA,2.00E-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-44,NA,NA,NA,NA,6.00E-06,NA,NA,3.00E-101,NA,NA,2.00E-09,NA,NA,NA,NA,1.00E-15,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae
Pantoea,2.00E-28,0,NA,1.00E-44,2.00E-20,NA,2.00E-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-39,NA,NA,NA,NA,8.00E-48,2.00E-27,NA,NA,NA,6.00E-05,NA,NA,3.00E-84,NA,NA,9.00E-08,NA,NA,NA,NA,1.00E-17,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae
Pusillimonas,NA,NA,NA,2.00E-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-65,NA,NA,NA,NA,6.00E-43,1.00E-25,NA,NA,NA,NA,4.00E-13,NA,9.00E-78,NA,NA,4.00E-68,NA,NA,NA,NA,1.00E-05,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae
Herbaspirillum,NA,8.00E-17,NA,2.00E-120,2.00E-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-66,NA,NA,NA,NA,2.00E-46,2.00E-20,2.00E-37,NA,NA,NA,8.00E-13,NA,1.00E-76,NA,2.00E-40,4.00E-69,NA,NA,NA,NA,1.00E-13,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae
Methylibium,NA,2.00E-11,NA,NA,1.00E-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-32,NA,NA,NA,NA,6.00E-41,NA,NA,NA,NA,NA,5.00E-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-12,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; unclassified Burkholderiales; Burkholderiales Genera incertae sedis
Rhizobacter,NA,4.00E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; unclassified Burkholderiales; Burkholderiales Genera incertae sedis
Robbsia,NA,1.00E-19,NA,NA,2.00E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-18,NA,NA,NA,NA,1.00E-10,NA,7.00E-77,NA,NA,1.00E-07,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae
Shinella,NA,1.00E-31,NA,1.00E-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00E-24,NA,NA,NA,1.00E-82,NA,NA,NA,NA,9.00E-08,NA,NA,NA,Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae
Sinobacteraceae bacterium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-20,NA,NA,NA,NA,5.00E-48,NA,NA,NA,NA,NA,NA,3.00E-22,1.00E-80,8.00E-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Nevskiales; Sinobacteraceae; unclassified Sinobacteraceae
Arenimonas,NA,1.00E-13,NA,6.00E-57,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-06,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-54,NA,NA,NA,NA,NA,NA,NA,4.00E-111,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-06,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae
Kushneria,NA,4.00E-26,NA,NA,1.00E-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-37,NA,NA,NA,NA,1.00E-43,2.00E-15,NA,NA,NA,NA,NA,NA,9.00E-81,4.00E-37,NA,NA,NA,NA,NA,NA,9.00E-19,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae
Salinicola,4.00E-26,1.00E-180,NA,9.00E-18,4.00E-103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-35,NA,NA,NA,NA,1.00E-42,2.00E-13,NA,NA,NA,NA,NA,NA,7.00E-85,3.00E-36,NA,NA,NA,NA,NA,NA,3.00E-17,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae
Idiomarina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-44,NA,NA,NA,NA,NA,NA,NA,4.00E-87,5.00E-35,NA,2.00E-07,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Alteromonadales; Idiomarinaceae
Alteromonas,NA,8.00E-37,NA,1.00E-38,3.00E-68,8.00E-06,2.00E-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-20,NA,NA,NA,NA,6.00E-45,2.00E-15,NA,NA,NA,NA,NA,NA,2.00E-81,1.00E-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae
Massilia,NA,8.00E-22,NA,8.00E-119,9.00E-43,NA,NA,NA,NA,NA,NA,NA,6.00E-25,NA,NA,NA,4.00E-70,NA,NA,NA,NA,1.00E-42,5.00E-40,NA,NA,NA,NA,NA,NA,5.00E-77,NA,9.00E-55,2.00E-52,NA,NA,NA,NA,2.00E-19,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae
Edwardsiella,1.00E-22,2.00E-176,NA,9.00E-40,2.00E-18,5.00E-09,5.00E-83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-44,NA,NA,NA,NA,NA,NA,NA,2.00E-79,NA,1.00E-46,NA,NA,NA,NA,NA,1.00E-15,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Enterobacterales; Hafniaceae
Enterobacter,3.00E-24,0.00E+00,NA,6.00E-49,1.00E-30,2.00E-19,4.00E-84,NA,NA,NA,2.00E-31,NA,NA,NA,NA,NA,3.00E-43,NA,NA,NA,NA,5.00E-49,3.00E-28,NA,NA,NA,NA,NA,NA,6.00E-80,NA,2.00E-40,1.00E-60,NA,NA,NA,NA,3.00E-21,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
Shimwellia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-43,NA,NA,NA,NA,NA,NA,NA,1.00E-75,NA,1.00E-37,NA,NA,NA,NA,NA,9.00E-12,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
Mycobacterium phage Pollywog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-110,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Siphoviridae; Cheoctovirus; unclassified Cheoctovirus
Mycobacterium phage Bipolar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-105,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Siphoviridae; Cheoctovirus; unclassified Cheoctovirus
Sinorhizobium,NA,2.00E-166,NA,1.00E-88,4.00E-50,2.00E-19,6.00E-73,NA,NA,NA,2.00E-34,NA,NA,NA,NA,NA,3.00E-40,NA,NA,NA,NA,NA,3.00E-33,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-83,NA,NA,NA,NA,6.00E-12,NA,NA,NA,Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium/Ensifer group
Mycobacterium phage Mantra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-82,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Siphoviridae; Cheoctovirus; unclassified Cheoctovirus
Naumannella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-43,NA,NA,NA,NA,NA,NA,NA,Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae
Thermoactinospora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-41,NA,NA,NA,NA,NA,NA,NA,Actinobacteria; Actinobacteria; Streptosporangiales; Streptosporangiaceae
Streptomyces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-28,NA,NA,NA,1.00E-13,NA,NA,NA,NA,1.00E-41,1.00E-14,NA,NA,NA,NA,NA,NA,4.00E-103,NA,NA,4.00E-41,4.00E-40,NA,NA,NA,4.00E-16,NA,NA,NA,Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae
Salinispora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-10,1.00E-35,NA,NA,NA,NA,NA,NA,NA,Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae
Micromonospora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-77,NA,NA,1.00E-11,6.00E-34,NA,NA,NA,NA,NA,NA,NA,Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae
Rathayibacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00E-27,1.00E-33,NA,NA,NA,NA,NA,NA,NA,Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae
Methyloversatilis,NA,NA,NA,1.00E-68,1.00E-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-28,NA,NA,NA,NA,1.00E-42,NA,NA,NA,NA,NA,NA,NA,2.00E-78,NA,NA,2.00E-67,7.00E-29,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Nitrosomonadales; Sterolibacteriaceae
Xanthomonas phage XAJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00E-07,NA,1.00E-17,NA,NA,NA,Uroviricota; Caudovirales; Siphoviridae; unclassified Siphoviridae
Chitinimonas,NA,5.00E-31,NA,6.00E-23,3.00E-19,NA,NA,NA,NA,NA,NA,NA,3.00E-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-83,NA,NA,6.00E-12,NA,NA,NA,NA,1.00E-32,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae
Photobacterium,1.00E-25,0,NA,9.00E-29,9.00E-70,NA,4.00E-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-43,NA,NA,NA,NA,NA,NA,NA,1.00E-83,NA,NA,6.00E-34,NA,NA,NA,NA,6.00E-24,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
Chryseobacterium,NA,4.00E-50,NA,7.00E-32,1.00E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-40,7.00E-12,NA,1.00E-05,NA,NA,NA,NA,NA,NA,NA,6.00E-10,NA,NA,NA,NA,1.00E-23,NA,NA,NA,Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae
Microcystis phage MACPNOA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-07,NA,NA,Uroviricota; Caudovirales; Siphoviridae; unclassified Siphoviridae
Deltaproteobacteria bacterium,NA,3.00E-37,NA,2.00E-93,5.00E-61,NA,NA,NA,NA,NA,NA,NA,2.00E-52,NA,NA,NA,2.00E-43,NA,NA,NA,NA,7.00E-45,1.00E-15,3.00E-59,NA,NA,NA,NA,NA,2.00E-88,NA,NA,6.00E-47,8.00E-08,NA,NA,1.00E-05,NA,NA,NA,NA,Proteobacteria; Deltaproteobacteria; unclassified Deltaproteobacteria; unclassified Deltaproteobacteria (miscellaneous)
